% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
1.994155940000e+00, -1.0584081589e-03
1.994351254000e+00, -5.2920407947e-04
1.994546568000e+00, -2.6460203973e-04
1.994741882000e+00, 0.0000000000e+00
1.994937196000e+00, -1.0584081589e-03
1.995132510000e+00, 0.0000000000e+00
1.995327824000e+00, -7.9380611920e-04
1.995523138000e+00, -2.6460203973e-04
1.995718452000e+00, -5.2920407947e-04
1.995913766000e+00, -5.2920407947e-04
1.996109080000e+00, 2.6460203973e-04
1.996304394000e+00, -7.9380611920e-04
1.996499708000e+00, 2.6460203973e-04
1.996695022000e+00, 0.0000000000e+00
1.996890336000e+00, 5.2920407947e-04
1.997085650000e+00, -2.6460203973e-04
1.997280964000e+00, 2.6460203973e-04
1.997476278000e+00, -5.2920407947e-04
1.997671592000e+00, 2.6460203973e-04
1.997866906000e+00, 0.0000000000e+00
1.998062220000e+00, 2.6460203973e-04
1.998257534000e+00, -5.2920407947e-04
1.998452848000e+00, 5.2920407947e-04
1.998648162000e+00, 2.6460203973e-04
1.998843476000e+00, 7.9380611920e-04
1.999038790000e+00, 5.2920407947e-04
1.999234104000e+00, 5.2920407947e-04
1.999429418000e+00, -2.6460203973e-04
1.999624732000e+00, -2.6460203973e-04
1.999820046000e+00, -2.6460203973e-04
2.000015360000e+00, 2.6460203973e-04
2.000210674000e+00, 5.2920407947e-04
2.000405988000e+00, -2.6460203973e-04
2.000601302000e+00, 7.9380611920e-04
2.000796616000e+00, -2.6460203973e-04
2.000991930000e+00, 2.6460203973e-04
2.001187244000e+00, 0.0000000000e+00
2.001382558000e+00, -5.2920407947e-04
2.001577872000e+00, 0.0000000000e+00
