% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.133770354516e+00, 1.264652e-01, -2.695226e-03
-2.130837592734e+00, 1.004243e-01, 0.000000e+00
-2.127904830953e+00, 9.361365e-02, 4.042840e-03
-2.124972069172e+00, 9.294593e-02, 6.738066e-03
-2.122039307391e+00, 9.561679e-02, -2.695226e-03
-2.119106545609e+00, 9.962308e-02, -4.042840e-03
-2.116173783828e+00, 1.041635e-01, 0.000000e+00
-2.113241022047e+00, 1.040300e-01, 1.347613e-03
-2.110308260266e+00, 1.057661e-01, 4.042840e-03
-2.107375498484e+00, 1.286019e-01, 0.000000e+00
-2.104442736703e+00, 1.344778e-01, -2.695226e-03
-2.101509974922e+00, 1.157818e-01, -4.042840e-03
-2.098577213141e+00, 1.087040e-01, -1.347613e-03
-2.095644451359e+00, 1.036294e-01, 1.347613e-03
-2.092711689578e+00, 8.546752e-02, 1.347613e-03
-2.089778927797e+00, 7.077779e-02, -1.347613e-03
-2.086846166016e+00, 6.650442e-02, -4.042840e-03
-2.083913404234e+00, 6.463481e-02, -4.042840e-03
-2.080980642453e+00, 7.117842e-02, 0.000000e+00
-2.078047880672e+00, 6.583670e-02, 4.042840e-03
-2.075115118891e+00, 6.329938e-02, 2.695226e-03
-2.072182357109e+00, 7.157905e-02, -1.347613e-03
-2.069249595328e+00, 8.306375e-02, -5.390453e-03
-2.066316833547e+00, 9.080924e-02, -1.347613e-03
-2.063384071766e+00, 1.013591e-01, 2.695226e-03
-2.060451309984e+00, 9.254530e-02, 2.695226e-03
-2.057518548203e+00, 9.174404e-02, 1.347613e-03
-2.054585786422e+00, 1.037629e-01, -2.695226e-03
